Timestamp,relative_humidity,wind_speed,visibility,pressure,snow,solar_radiation,wind_direction,temperature,precipitation,cloud_coverage,hour,day,month,year,weekend,holiday,PM10,O3,CO,NO2,SO2
2020-07-31 06:00:00,54.5,1.6,5.0,985.0,0.0,406.66,25,24.6,0.0,0,6,31,7,2020,0,0,3.076666929045683,1.5686159079797377,0.7114781082177623,3.469883521405789,0.5866749238500351
2020-07-31 07:00:00,45.5,2.0,5.0,984.6,0.0,591.68,135,27.1,0.0,0,7,31,7,2020,0,0,3.475005319200502,1.4816045625986316,0.9111173751707786,3.5498184931819785,0.7246458527018829
2020-07-31 08:00:00,37.5,2.4,5.0,984.15,0.0,750.83,160,29.4,0.0,0,8,31,7,2020,0,0,3.898207999685682,2.70805020110221,0.7194482662192314,3.4758099699609555,0.7246458527018829
2020-07-31 09:00:00,33.0,2.8,5.0,983.7,0.0,869.29,200,31.9,0.0,0,9,31,7,2020,0,0,3.676753697365933,3.471966476244134,0.6122082408982955,3.4875585281818933,0.5866749238500351
2020-07-31 10:00:00,31.5,3.2,5.0,982.85,0.0,936.6,188,34.0,0.0,1,10,31,7,2020,0,0,3.494414455959587,4.0673159159622445,0.5678106922754987,3.598024362505942,0.7246458527018829
2020-07-31 11:00:00,30.0,3.2,1.5,982.0,0.0,946.9,199,35.8,0.0,6,11,31,7,2020,0,0,3.4550540496332864,4.377014073681004,0.515156238026132,3.5822125053046685,0.8458682859962117
2020-07-31 12:00:00,27.5,2.8,0.5,981.05,0.0,858.062,210,37.1,0.0,44,12,31,7,2020,0,0,3.28548720073486,4.621043520125888,0.42840007485468,3.073988783513443,0.5866749238500351
2020-07-31 13:00:00,25.0,3.2,5.0,980.35,0.0,611.314,179,37.8,0.0,71,13,31,7,2020,0,0,3.12636573725742,4.553876891600541,0.3747996890770929,3.166697932667884,0.5866749238500351
2020-07-31 14:00:00,23.5,3.2,5.0,979.6,0.0,491.843,148,37.9,0.0,72,14,31,7,2020,0,0,2.999176348121608,4.314817925779332,0.4100545687325905,3.2291033438153547,0.7246458527018829
2020-07-31 15:00:00,22.0,3.6,0.5,978.85,0.0,368.167,165,37.7,0.0,70,15,31,7,2020,0,0,3.0346163563795123,4.4091552649361265,0.42761789496429137,2.9318868715288606,0.7246458527018829
2020-07-31 16:00:00,27.0,4.0,0.5,979.5,0.0,221.97799999999998,313,35.3,0.0,69,16,31,7,2020,0,0,2.9129482739508883,4.379523542698341,0.47125284745556284,3.2061552610769857,0.7246458527018829
2020-07-31 17:00:00,37.0,4.4,0.5,980.15,0.0,81.9194,302,32.0,0.0,66,17,31,7,2020,0,0,3.1780538303479458,4.306764109044522,0.5089238230692736,3.3958832735436406,0.7246458527018829
2020-07-31 18:00:00,47.5,4.4,0.5,980.8,0.0,0.0,265,29.3,0.0,56,18,31,7,2020,0,0,3.189158595618532,4.204692619390966,0.5186747232103368,3.499170716700902,0.8458682859962117
2020-07-31 19:00:00,63.0,4.4,1.5,981.1,0.0,0.0,250,25.4,0.0,17,19,31,7,2020,0,0,3.556204802362032,4.271095052655442,0.44186131526838446,2.971798145138121,0.8458682859962117
2020-07-31 20:00:00,76.5,4.0,1.5,981.6,0.0,0.0,237,23.5,0.0,4,20,31,7,2020,0,0,4.834176522424946,3.5723455949962166,0.5704709485683285,3.2138632830446565,0.5866749238500351
2020-07-31 21:00:00,83.0,3.6,5.0,982.15,0.0,0.0,224,22.4,0.0,0,21,31,7,2020,0,0,3.6888794541139363,4.060443010546419,0.46762579776815866,2.9420150160043423,0.426574074742165
2020-07-31 22:00:00,78.0,4.0,5.0,986.05,0.0,0.0,61,23.5,0.0,0,22,31,7,2020,0,0,3.676857462671107,3.1863526646890636,0.54921905831695,3.2138632830446565,0.23586232579355187
2020-07-31 23:00:00,81.0,4.0,5.0,986.0,0.0,0.0,38,23.2,0.0,1,23,31,7,2020,0,0,3.5232055104234066,2.772588722239781,0.6601073277138825,3.5875109875886415,0.23586232579355187
2020-08-01 00:00:00,82.5,4.0,5.0,985.95,0.0,0.0,15,22.6,0.0,1,0,1,8,2020,0,0,3.781321902023813,2.7343674846488217,0.5472539853451591,3.0914969059373636,0.23586232579355187
2020-08-01 01:00:00,82.5,3.6,5.0,985.35,0.0,0.0,32,21.8,0.0,1,1,1,8,2020,0,0,3.350395192591236,2.901421636002499,0.5452270643046899,3.0914969059373636,0.5866749238500351
2020-08-01 02:00:00,85.0,4.0,1.5,985.4,0.0,0.0,48,21.2,0.0,2,2,1,8,2020,0,0,3.1206453542786776,2.282382405139267,0.6327069305772371,3.0651184138513416,0.426574074742165
2020-08-01 03:00:00,86.0,3.6,1.5,985.4,0.0,0.0,65,21.0,0.0,2,3,1,8,2020,0,0,3.4550540496332864,1.8870696345827689,0.6474173322978999,2.921655097270535,0.23586232579355187
2020-08-01 04:00:00,85.5,3.6,1.5,985.4,0.0,44.9498,65,21.0,0.0,3,4,1,8,2020,0,0,3.277974553091726,1.7578579504376943,0.6184775245028662,2.7042429520373603,0.23586232579355187
2020-08-01 05:00:00,80.0,3.6,1.5,985.55,0.0,212.699,45,22.9,0.0,6,5,1,8,2020,0,0,3.012835147703566,1.2809338189711108,0.6719746259933348,2.741871736301512,0.426574074742165
2020-08-01 06:00:00,65.5,4.0,1.5,986.3,0.0,404.129,185,25.4,0.0,10,6,1,8,2020,0,0,3.240676478117444,1.1631508247068418,0.7560280607776428,2.868864377858324,0.426574074742165
2020-08-01 07:00:00,66.5,4.4,1.5,986.45,0.0,589.021,160,25.8,0.0,13,7,1,8,2020,0,0,3.485109499677342,1.722766580711205,0.7328965938449613,3.108703761071863,0.426574074742165
2020-08-01 08:00:00,64.0,4.8,5.0,987.0,0.0,747.655,300,26.3,2.92105,16,8,1,8,2020,0,0,3.3468116142289017,2.174751743158577,0.7017599884801964,3.3958832735436406,0.7246458527018829
2020-08-01 09:00:00,77.5,5.2,5.0,983.0,0.0,866.06,300,23.2,1.1052600000000001,16,9,1,8,2020,0,0,3.5620086351914626,2.3418057694675447,0.8070114234327835,3.4273847960559363,0.5866749238500351
2020-08-01 10:00:00,63.5,5.6,1.5,982.05,0.0,933.582,302,25.8,0.0,15,10,1,8,2020,0,0,3.906729018194219,3.7565380847620626,0.5912252060409726,3.1339713244221237,0.23586232579355187
