Timestamp,relative_humidity,wind_speed,visibility,pressure,snow,solar_radiation,wind_direction,temperature,precipitation,cloud_coverage,hour,day,month,year,weekend,holiday,PM10,O3,CO,NO2,SO2
2019-02-19 11:00:00,63,2.4,5.0,994.5,0.0,605.42,0.0,12.0,0.0,0,11,19,2,2019,0,0,5.046517078504855,4.083283617434093,0.5350888744496008,2.9580096214015823,1.9437650118233705
2019-02-19 12:00:00,60,2.0,5.0,993.5,0.0,563.16,0.0,14.0,0.0,0,12,19,2,2019,0,0,4.943283901271035,4.199004873993123,0.45742483647602694,2.697831490630869,1.9626267913753819
2019-02-19 13:00:00,57,2.0,5.0,992.9,0.0,465.3,0.0,16.0,0.0,0,13,19,2,2019,0,0,4.863526396060971,4.334935023141397,0.42761789496429137,2.8775003976552385,2.282851639025551
2019-02-19 14:00:00,56,2.0,5.0,992.2,0.0,322.67,0.0,16.0,0.0,0,14,19,2,2019,0,0,4.594614641207161,4.407206944363704,0.36519852262391067,2.402122719250443,3.0634890298026973
2019-02-19 15:00:00,54,2.0,5.0,991.5,0.0,154.43,0.0,16.6,0.0,0,15,19,2,2019,0,0,4.356835779580752,4.375757021660286,0.340748785079433,2.7381719633021353,3.201428511850338
2019-02-19 16:00:00,58,2.0,5.0,991.9,0.0,6.92,0.0,15.0,0.0,0,16,19,2,2019,0,0,4.287439812644287,4.427000003963551,0.3324642156340331,2.4460964790799653,3.089259053632251
2019-02-19 17:00:00,58,2.4,5.0,991.8,0.0,0.0,120.0,7.0,0.0,0,17,19,2,2019,0,0,4.397898748558346,4.20409541250847,0.442632437472811,3.123100319226267,2.8872669716844
2019-02-19 18:00:00,62,2.4,5.0,992.3,0.0,0.0,40.0,6.0,0.0,0,18,19,2,2019,0,0,5.150513196544661,2.2575877709562695,0.8018221759700261,3.9386181783104623,2.833989558011714
2019-02-19 19:00:00,65,2.0,5.0,992.4,0.0,0.0,50.0,4.0,0.0,0,19,19,2,2019,0,0,5.539850780576918,1.3862943611198906,0.9735024732301208,3.883565884930715,2.9546186108440335
2019-02-19 20:00:00,59,2.0,5.0,992.7,0.0,0.0,40.0,3.0,0.0,0,20,19,2,2019,0,0,5.356444760983494,0.45742483647602694,0.9646998532731376,3.7496052276100937,2.810257729618111
2019-02-19 21:00:00,57,2.0,5.0,992.9,0.0,0.0,50.0,2.1,0.0,0,21,19,2,2019,0,0,5.36227762699637,0.5538851187073245,0.9101921658129812,3.6822273385567383,2.5502573417408048
2019-02-19 22:00:00,58,1.6,1.5,993.1,0.0,0.0,90.0,1.0,0.0,6,22,19,2,2019,0,0,5.226069189218805,0.8064758701244231,0.796605913436487,3.5129295003621386,2.2009067081839944
2019-02-19 23:00:00,56,1.6,1.5,993.3,0.0,0.0,0.0,0.1,0.0,20,23,19,2,2019,0,0,5.071981258776722,,0.7373554259174554,3.4298625900690336,1.9088904736236214
2019-02-20 00:00:00,62,1.6,0.5,993.6,0.0,0.0,0.0,-0.8,0.0,48,0,20,2,2019,0,0,4.96242497887177,1.2059707812907978,0.5684905904902032,3.42178727190857,1.6843598276254816
2019-02-20 01:00:00,64,1.6,5.0,993.6,0.0,0.0,0.0,-1.0,0.0,73,1,20,2,2019,0,0,4.483002552013883,2.2449559357064865,0.45742483647602694,3.2176951660065405,1.6127524397122843
2019-02-20 02:00:00,74,1.6,5.0,993.5,0.0,0.0,0.0,-2.0,0.0,77,2,20,2,2019,0,0,4.433669842466858,2.009555419329205,0.5075402249094613,3.2153977986778233,
2019-02-20 03:00:00,73,1.6,0.5,993.4,0.0,0.0,0.0,-2.7,0.0,61,3,20,2,2019,0,0,4.592186249154877,2.0464016580303386,0.5214094303844035,3.075753471972392,1.5182870613015627
2019-02-20 04:00:00,73,2.0,1.0,993.7,0.0,0.0,0.0,-4.0,0.0,35,4,20,2,2019,0,0,4.685366713899499,2.4510051309976397,0.5214094303844035,2.822259466587705,1.4520352937269165
2019-02-20 05:00:00,73,2.4,1.5,994.2,0.0,0.0,0.0,-2.0,0.0,6,5,20,2,2019,0,0,4.6738563494749,2.4595888255015854,0.4720016433891435,2.8016012416620772,1.2604476371935054
2019-02-20 06:00:00,71,2.8,5.0,994.3,0.0,61.85,0.0,-4.1,0.0,0,6,20,2,2019,0,0,4.634631875395595,2.2762410941552815,0.442632437472811,2.9050632728911205,1.2828209746425339
2019-02-20 07:00:00,71,2.8,5.0,994.6,0.0,230.04,0.0,0.0,0.0,0,7,20,2,2019,0,0,4.9228235924933825,1.51292700365084,0.6443770150389773,3.1779038538157733,2.121255037450672
2019-02-20 08:00:00,77,3.6,5.0,994.8,0.0,391.36,0.0,4.0,0.0,0,8,20,2,2019,0,0,4.904607916595558,1.8961194616412027,0.6259384334164266,3.1642802217056625,1.7419037336671055
2019-02-20 09:00:00,64,4.4,5.0,994.8,0.0,517.56,300.0,5.6,0.0,0,9,20,2,2019,0,0,4.72809554901795,3.5001372972672025,0.4934759924175027,2.6490642696209936,2.1649309535234735
2019-02-20 10:00:00,61,4.8,5.0,994.2,0.0,593.51,0.0,9.0,0.0,0,10,20,2,2019,0,0,4.815755227832986,3.6184569570732075,0.5282725255612439,2.9863634958255405,2.3175131295129416
2019-02-20 11:00:00,56,5.6,5.0,993.5,0.0,611.17,0.0,13.0,0.0,0,11,20,2,2019,0,0,4.9668227721545675,3.9148190805572,0.5005328518555456,2.890316231316615,2.296325556488497
